"Packet comments","No.","Time","Source","Destination","Protocol","Length","Info","Data Fragment","USB data","HID Data"
"","179","88.674443","1.4.1","host","USB","128","URB_INTERRUPT in","","04220803c108c600000078060000021e0000000032000000220000001900000041910008â\200\246",""
"","180","89.175445","1.4.1","host","USB","128","URB_INTERRUPT in","","04220803c208c600000078060000021e0000000032000000220000001900000041910008â\200\246",""
"","181","89.676448","1.4.1","host","USB","128","URB_INTERRUPT in","","04220803c108c600000078060000021e0000000032000000220000001900000041910008â\200\246",""
"","182","90.177452","1.4.1","host","USB","128","URB_INTERRUPT in","","04220803c208c600000078060000021e0000000032000000220000001900000041910008â\200\246",""
"","183","90.678454","1.4.1","host","USB","128","URB_INTERRUPT in","","04220803c208c600000078060000021e0000000032000000220000001900000041910008â\200\246",""
"","184","91.179457","1.4.1","host","USB","128","URB_INTERRUPT in","","04220803c108c600000078060000021e0000000032000000220000001900000041910008â\200\246",""
"","185","91.680460","1.4.1","host","USB","128","URB_INTERRUPT in","","04220803c108c600000078060000021e0000000032000000220000001900000041910008â\200\246",""
"","186","92.181462","1.4.1","host","USB","128","URB_INTERRUPT in","","04220903c108cd00000078060000021e0000000032000000220000001900000041910008â\200\246",""
"","187","92.682465","1.4.1","host","USB","128","URB_INTERRUPT in","","04220903c108c600000078060000021e0000000032000000220000001900000041910008â\200\246",""
"","188","93.183468","1.4.1","host","USB","128","URB_INTERRUPT in","","04220903c008c600000078060000021e0000000032000000220000001900000041910008â\200\246",""
"","189","93.684470","1.4.1","host","USB","128","URB_INTERRUPT in","","04220903c108c600000078060000021e0000000032000000220000001900000041910008â\200\246",""
"","190","94.185473","1.4.1","host","USB","128","URB_INTERRUPT in","","04220903c108cd00000078060000021e0000000032000000220000001900000041910008â\200\246",""
"","191","94.686476","1.4.1","host","USB","128","URB_INTERRUPT in","","04220903c008c600000078060000021e0000000032000000220000001900000041910008â\200\246",""
"","192","95.187479","1.4.1","host","USB","128","URB_INTERRUPT in","","04220903c008c600000078060000021e0000000032000000220000001900000041910008â\200\246",""
"","193","95.688481","1.4.1","host","USB","128","URB_INTERRUPT in","","04220903c108cd00000078060000021e0000000032000000220000001900000041910008â\200\246",""
"","194","96.189484","1.4.1","host","USB","128","URB_INTERRUPT in","","04230103c108c600000078060000021e0000000032000000230000001900000041910008â\200\246",""
